id,balance_time,LTV_time,interest_rate_time,hpi_time,gdp_time,uer_time,REtype_CO_orig_time,REtype_PU_orig_time,REtype_SF_orig_time,investor_orig_time,balance_orig_time,FICO_orig_time,LTV_orig_time,Interest_Rate_orig_time,hpi_orig_time,default,mat_orig_diff
46919,393564.3586666666,84.16671792826665,3.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,462898.0,695.0,77.79999999999998,2.2,212.73,0.0,119.4
46923,96534.88533333332,39.038269694200004,6.379999999999999,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,115000.0,784.0,59.0,0.0,132.76,0.0,120.0
46936,119446.15466666667,88.98202008706669,5.89,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,137250.0,761.0,90.0,5.89,191.42000000000004,0.0,120.0
46940,107631.42,119.137727138,5.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,114000.0,613.0,95.0,0.0,223.75,0.0,118.0
46941,104077.96266666663,113.87643494053333,6.549999999999998,172.59466666666665,0.22578452334666663,7.400000000000001,0.0,0.0,1.0,0.0,108000.0,639.0,90.0,6.549999999999998,223.75,0.0,118.0
46954,298866.2186666666,124.72472677066665,9.3,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,316000.0,617.0,100.0,9.3,222.3899999999999,0.0,120.0
46956,126539.29,119.17041418800002,9.825,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,133000.0,529.0,95.0,9.825,222.3899999999999,0.0,121.0
46960,427663.9153333333,118.673731656,2.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,1.0,0.0,0.0,432250.0,531.0,95.0,2.0,212.73,0.0,118.0
46961,156449.182,69.30582616793335,5.958333333333333,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,0.0,1.0,171000.0,554.0,60.0,0.0,212.73,0.0,118.0
46964,175277.47133333335,112.97288741453332,3.6666666666666665,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,186200.0,516.0,95.0,7.0266666666666655,212.73,0.0,118.0
46974,128201.56866666666,110.97661497699998,6.86,158.86666666666667,0.18823271110666662,8.546666666666669,0.0,0.0,1.0,0.0,129000.0,625.0,83.20000000000002,0.0,212.73,1.0,119.0
46980,135922.47133333335,104.22563230746667,8.263333333333334,168.16400000000002,0.23795427449333334,7.713333333333335,0.0,0.0,1.0,0.0,140173.0,616.0,80.0,0.0,223.75,1.0,118.0
46990,49496.346,103.68353087973334,11.949999999999998,164.30666666666667,0.19561674950666663,8.006666666666668,0.0,0.0,1.0,0.0,50000.0,581.0,76.9,0.0,222.3899999999999,1.0,120.0
46998,101270.89266666664,92.19545224486667,6.55,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,108240.0,575.0,74.70000000000002,0.0,222.3899999999999,0.0,121.0
46999,293655.52133333334,136.14250296066666,3.4916666666666667,155.63266666666667,1.1620988461600001,9.04,0.0,1.0,0.0,0.0,295000.0,592.0,100.0,3.24,212.73,1.0,118.0
47001,116172.74466666668,112.72789990806665,8.5,170.19533333333337,1.998497704873333,7.386666666666667,0.0,1.0,0.0,1.0,123500.0,671.0,95.0,8.5,212.73,0.0,118.0
47005,125175.44866666666,99.93268605680001,6.558333333333334,165.416,1.8808086463666664,7.846666666666666,0.0,1.0,0.0,0.0,132800.0,556.0,80.0,0.0,217.36999999999992,0.0,120.0
47008,83900.46066666667,77.466138466,6.950000000000002,168.16400000000002,0.23795427449333334,7.713333333333335,0.0,0.0,0.0,0.0,100000.0,785.0,69.0,6.950000000000002,223.75,0.0,57.0
47020,357080.3813333334,88.23508874320001,4.786666666666666,169.9466666666667,2.023171749073333,7.473333333333334,0.0,1.0,0.0,0.0,410000.0,568.0,75.20000000000002,4.786666666666666,225.09999999999994,0.0,142.66666666666666
47025,492000.0,103.37842437513333,7.400000000000002,161.30266666666665,0.15063140719999993,8.293333333333335,0.0,0.0,1.0,0.0,492000.0,605.0,78.1,0.0,212.73,1.0,117.0
47033,171069.33733333327,110.10375007713333,3.450000000000001,167.86533333333333,1.9186841548800002,7.613333333333333,0.0,1.0,0.0,0.0,189050.0,667.0,95.0,3.450000000000001,212.73,0.0,118.0
47037,219728.54266666668,94.94270113286667,7.2,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,233600.0,572.0,80.0,0.0,212.73,0.0,119.0
47047,336087.8653333333,64.25295976066667,5.989999999999999,172.59466666666665,0.22578452334666663,7.400000000000001,0.0,0.0,1.0,0.0,360000.0,627.0,69.89999999999999,5.989999999999999,167.91,0.0,120.0
47048,339637.78666666674,76.767052168,5.989999999999999,158.5653333333333,1.9093485246399997,8.666666666666666,0.0,0.0,1.0,0.0,410000.0,643.0,87.20000000000003,5.989999999999999,167.91,0.0,120.0
47058,331423.344,97.05812350006669,2.0,165.416,1.8808086463666664,7.846666666666666,0.0,0.0,1.0,0.0,345000.0,512.0,73.4,0.0,225.09999999999994,1.0,121.0
47062,175070.55,117.14456768733334,6.150000000000001,165.416,1.8808086463666664,7.846666666666666,0.0,0.0,1.0,0.0,182250.0,589.0,90.0,6.150000000000001,222.3899999999999,0.0,120.0
47063,442599.23999999993,89.55045858413334,2.0,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,532000.0,516.0,80.0,0.0,222.3899999999999,0.0,120.0
47089,173218.13466666668,79.52631256779999,5.8256,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,188250.0,655.0,68.5,0.7006,212.73,0.0,118.0
47096,250072.79666666672,122.37655914933333,6.786666666666666,155.368,0.49824109711333325,8.926666666666666,0.0,0.0,1.0,0.0,252000.0,633.0,90.0,0.0,212.73,1.0,119.0
47100,627698.6726666667,97.1394683714,5.799999999999998,161.514,1.90073955506,8.273333333333333,0.0,0.0,1.0,0.0,695000.0,701.0,77.20000000000002,5.799999999999998,223.75,0.0,118.0
47105,94807.09066666669,64.91229988713333,7.75,170.19533333333337,1.998497704873333,7.386666666666667,0.0,0.0,1.0,0.0,108000.0,623.0,80.0,7.75,155.77,0.0,120.0
